LST_2024Ex,LST_2014Ex,LST_2005Ex,NDVI_2024Ex,NDVI_2014Ex,NDVI_2004Ex,UI_2024Ex,UI_2014Ex,UI_2004Ex,Normalised_PD_2024,Normalised_PD_2014,Normalised_PD_2004,Normalised_Nonbuiltup_road_2024,Distance_to_Nonbuiltup_CBD
41.415,41.371,46.153,0.399,0.286,0.251,0.339,0.304,-0.032,0.068,0.045,0.060,0.695,0.601
33.464,30.894,33.070,-0.041,-0.041,-0.059,-0.237,-0.167,-0.056,0.068,0.045,0.060,0.695,0.608
39.770,38.859,41.628,0.353,0.479,0.316,0.305,0.388,-0.076,0.073,0.051,0.065,0.636,0.567
43.121,41.755,44.683,0.250,0.244,0.276,0.296,0.293,-0.043,0.068,0.045,0.060,0.631,0.570
43.597,38.789,46.556,0.322,0.366,0.352,0.321,0.326,-0.086,0.068,0.045,0.060,0.631,0.577
41.707,41.389,42.805,0.286,0.244,0.294,0.296,0.283,-0.048,0.131,0.095,0.098,0.760,0.545
42.260,41.185,44.315,0.273,0.290,0.284,0.299,0.303,-0.044,0.093,0.070,0.085,0.610,0.533
41.471,40.953,44.299,0.304,0.253,0.302,0.297,0.278,-0.053,0.086,0.066,0.081,0.587,0.533
41.671,40.256,41.211,0.329,0.408,0.304,0.322,0.355,-0.055,0.078,0.058,0.071,0.572,0.535
39.561,39.274,42.797,0.268,0.301,0.218,0.296,0.295,-0.019,0.068,0.045,0.060,0.567,0.539
40.045,40.939,46.173,0.388,0.340,0.350,0.345,0.325,-0.071,0.068,0.045,0.060,0.567,0.546
31.083,30.014,30.186,-0.078,-0.051,-0.045,-0.276,-0.165,-0.062,0.072,0.049,0.065,0.572,0.555
42.559,42.721,44.721,0.251,0.159,0.133,0.286,0.272,0.017,0.132,0.090,0.098,0.760,0.523
42.629,41.891,42.035,0.243,0.223,0.254,0.271,0.290,-0.032,0.132,0.090,0.098,0.712,0.514
42.158,40.773,45.088,0.300,0.197,0.223,0.321,0.282,-0.011,0.106,0.082,0.084,0.667,0.508
43.079,43.094,43.949,0.270,0.189,0.177,0.301,0.264,0.005,0.106,0.082,0.084,0.622,0.504
41.445,40.352,42.800,0.244,0.305,0.250,0.277,0.320,-0.017,0.088,0.065,0.084,0.582,0.502
44.464,41.883,44.319,0.317,0.196,0.335,0.329,0.270,-0.068,0.088,0.065,0.084,0.551,0.502
41.153,39.297,44.653,0.372,0.348,0.314,0.324,0.338,-0.058,0.087,0.071,0.081,0.525,0.502
42.299,40.595,44.321,0.201,0.293,0.304,0.270,0.319,-0.042,0.087,0.071,0.081,0.509,0.504
43.218,41.946,44.694,0.241,0.196,0.190,0.275,0.263,-0.004,0.078,0.054,0.075,0.503,0.508
42.791,41.303,46.207,0.265,0.247,0.200,0.298,0.291,-0.012,0.078,0.054,0.075,0.503,0.516
36.414,31.037,34.654,-0.003,-0.065,-0.045,-0.097,-0.174,-0.056,0.075,0.053,0.070,0.509,0.525
44.310,42.087,43.181,0.302,0.265,0.210,0.329,0.293,-0.007,0.138,0.088,0.086,0.795,0.665
40.705,40.410,38.927,0.279,0.268,0.199,0.255,0.293,-0.020,0.143,0.093,0.089,0.826,0.640
39.617,39.819,42.744,0.463,0.372,0.282,0.369,0.345,-0.050,0.154,0.106,0.101,0.887,0.599
42.000,41.004,42.408,0.245,0.312,0.314,0.268,0.340,-0.048,0.158,0.113,0.110,0.918,0.579
44.910,41.924,42.009,0.178,0.219,0.267,0.252,0.294,-0.046,0.161,0.118,0.117,0.948,0.560
42.146,43.359,43.960,0.261,0.202,0.200,0.303,0.284,-0.008,0.170,0.132,0.132,0.905,0.546
43.264,43.132,43.585,0.267,0.217,0.263,0.304,0.284,-0.039,0.179,0.147,0.143,0.853,0.530
39.839,40.165,40.079,0.322,0.368,0.338,0.279,0.324,-0.062,0.186,0.158,0.144,0.804,0.514
40.617,41.900,43.184,0.336,0.160,0.175,0.334,0.254,0.006,0.175,0.143,0.132,0.759,0.503
43.384,41.791,43.969,0.258,0.268,0.220,0.311,0.312,-0.021,0.132,0.091,0.098,0.711,0.493
41.294,39.608,41.991,0.289,0.383,0.304,0.294,0.347,-0.065,0.132,0.091,0.098,0.663,0.484
42.480,39.695,45.072,0.287,0.320,0.256,0.280,0.308,-0.027,0.106,0.082,0.085,0.618,0.477
44.684,42.207,42.404,0.192,0.211,0.264,0.269,0.287,-0.032,0.106,0.082,0.084,0.571,0.472
47.991,43.352,45.459,0.246,0.211,0.329,0.268,0.275,-0.068,0.088,0.065,0.084,0.528,0.470
43.177,41.637,45.822,0.318,0.180,0.282,0.310,0.259,-0.037,0.088,0.065,0.084,0.493,0.470
41.169,39.078,43.925,0.257,0.342,0.333,0.276,0.320,-0.063,0.087,0.071,0.081,0.464,0.471
41.154,39.076,43.546,0.339,0.327,0.330,0.338,0.330,-0.063,0.087,0.071,0.081,0.446,0.473
41.953,40.369,41.618,0.302,0.275,0.352,0.311,0.294,-0.073,0.078,0.054,0.075,0.439,0.477
41.682,40.895,43.572,0.250,0.237,0.141,0.263,0.264,-0.006,0.078,0.054,0.075,0.439,0.485
41.221,34.264,38.150,0.126,-0.002,-0.022,0.193,-0.051,-0.064,0.078,0.058,0.074,0.446,0.496
